country,date,shipments
mexico,Feb 2017,7
mexico,Mar 2017,13
mexico,Apr 2017,5
mexico,May 2017,8
mexico,Jun 2017,7
mexico,Jul 2017,12
mexico,Aug 2017,6
mexico,Sep 2017,8
mexico,Oct 2017,7
mexico,Nov 2017,16
mexico,Dec 2017,5
mexico,Jan 2018,3
mexico,Feb 2018,3
mexico,Mar 2018,5
mexico,Apr 2018,16
mexico,May 2018,13
mexico,Jun 2018,5
mexico,Jul 2018,10
mexico,Aug 2018,21
mexico,Sep 2018,17
mexico,Oct 2018,8
mexico,Nov 2018,14
mexico,Dec 2018,8
mexico,Jan 2019,13
mexico,Feb 2019,17
mexico,Mar 2019,17
mexico,Apr 2019,23
mexico,May 2019,17
mexico,Jun 2019,18
mexico,Jul 2019,13
mexico,Aug 2019,31
mexico,Sep 2019,16
mexico,Oct 2019,27
mexico,Nov 2019,22
mexico,Dec 2019,20
mexico,Jan 2020,14
mexico,Feb 2020,18
mexico,Mar 2020,19
mexico,Apr 2020,9
mexico,May 2020,5
mexico,Jun 2020,16
mexico,Jul 2020,23
mexico,Aug 2020,26
mexico,Sep 2020,22
mexico,Oct 2020,23
mexico,Nov 2020,23
mexico,Dec 2020,15
mexico,Jan 2021,16
mexico,Feb 2021,17
mexico,Mar 2021,27
mexico,Apr 2021,25
mexico,May 2021,17
mexico,Jun 2021,19
mexico,Jul 2021,25
mexico,Aug 2021,19
mexico,Sep 2021,16
mexico,Oct 2021,10
mexico,Nov 2021,7
mexico,Dec 2021,25
mexico,Jan 2022,16
mexico,Feb 2022,13
mexico,Mar 2022,13
mexico,Apr 2022,15
mexico,May 2022,15
mexico,Jun 2022,15
mexico,Jul 2022,17
mexico,Aug 2022,14
mexico,Sep 2022,9
mexico,Oct 2022,4
mexico,Nov 2022,9
mexico,Dec 2022,9
mexico,Jan 2023,8
mexico,Feb 2023,7
mexico,Mar 2023,3
mexico,Apr 2023,6
mexico,May 2023,6
mexico,Jun 2023,7
mexico,Jul 2023,13
mexico,Aug 2023,10
mexico,Sep 2023,9
mexico,Oct 2023,13
mexico,Nov 2023,11
mexico,Dec 2023,19
mexico,Jan 2024,12
mexico,Feb 2024,9
mexico,Mar 2024,7
mexico,Apr 2024,6
mexico,May 2024,10
mexico,Jun 2024,11
mexico,Jul 2024,7
mexico,Aug 2024,14
mexico,Sep 2024,8
mexico,Oct 2024,8
mexico,Nov 2024,4
mexico,Dec 2024,7
mexico,Jan 2025,3
mexico,Feb 2025,6
mexico,Mar 2025,5
mexico,Apr 2025,7
mexico,May 2025,11
mexico,Jun 2025,7
mexico,Jul 2025,9
mexico,Aug 2025,10
mexico,Sep 2025,6
mexico,Oct 2025,5
mexico,Nov 2025,9
mexico,Dec 2025,5
mexico,Jan 2026,6
mexico,Feb 2026,2
mexico,Mar 2026,2
mexico,Apr 2026,4
mexico,Jun 2026,1
mexico,Jul 2026,1
india,Jan 2015,43
india,Feb 2015,44
india,Mar 2015,29
india,Apr 2015,54
india,May 2015,29
india,Jun 2015,37
india,Jul 2015,59
india,Aug 2015,44
india,Sep 2015,56
india,Oct 2015,47
india,Nov 2015,38
india,Dec 2015,28
india,Jan 2016,30
india,Feb 2016,26
india,Mar 2016,39
india,Apr 2016,30
india,May 2016,30
india,Jun 2016,17
india,Jul 2016,18
india,Aug 2016,17
india,Sep 2016,19
india,Oct 2016,23
india,Nov 2016,20
india,Dec 2016,17
india,Jan 2017,21
india,Feb 2017,26
india,Mar 2017,19
india,Apr 2017,19
india,May 2017,28
india,Jun 2017,14
india,Jul 2017,36
india,Aug 2017,30
india,Sep 2017,24
india,Oct 2017,24
india,Nov 2017,36
india,Dec 2017,26
india,Jan 2018,32
india,Feb 2018,18
india,Mar 2018,29
india,Apr 2018,28
india,May 2018,24
india,Jun 2018,16
india,Jul 2018,35
india,Aug 2018,29
india,Sep 2018,19
india,Oct 2018,23
india,Nov 2018,18
india,Dec 2018,41
india,Jan 2019,44
india,Feb 2019,31
india,Mar 2019,37
india,Apr 2019,51
india,May 2019,24
india,Jun 2019,23
india,Jul 2019,37
india,Aug 2019,30
india,Sep 2019,36
india,Oct 2019,27
india,Nov 2019,22
india,Dec 2019,28
india,Jan 2020,23
india,Feb 2020,16
india,Mar 2020,26
india,Apr 2020,32
india,May 2020,7
india,Jun 2020,7
india,Jul 2020,22
india,Aug 2020,26
india,Sep 2020,28
india,Oct 2020,31
india,Nov 2020,17
india,Dec 2020,22
india,Jan 2021,13
india,Feb 2021,21
india,Mar 2021,18
india,Apr 2021,24
india,May 2021,20
india,Jun 2021,23
india,Jul 2021,47
india,Aug 2021,29
india,Sep 2021,24
india,Oct 2021,48
india,Nov 2021,23
india,Dec 2021,47
india,Jan 2022,57
india,Feb 2022,32
india,Mar 2022,46
india,Apr 2022,48
india,May 2022,35
india,Jun 2022,38
india,Jul 2022,33
india,Aug 2022,33
india,Sep 2022,34
india,Oct 2022,32
india,Nov 2022,48
india,Dec 2022,21
india,Jan 2023,28
india,Feb 2023,55
india,Mar 2023,49
india,Apr 2023,33
india,May 2023,40
india,Jun 2023,30
india,Jul 2023,63
india,Aug 2023,44
india,Sep 2023,67
india,Oct 2023,47
india,Nov 2023,34
india,Dec 2023,49
india,Jan 2024,40
india,Feb 2024,34
india,Mar 2024,56
india,Apr 2024,58
india,May 2024,48
india,Jun 2024,50
india,Jul 2024,32
india,Aug 2024,57
india,Sep 2024,47
india,Oct 2024,57
india,Nov 2024,66
india,Dec 2024,38
india,Jan 2025,35
india,Feb 2025,40
india,Mar 2025,60
india,Apr 2025,57
india,May 2025,38
india,Jun 2025,37
india,Jul 2025,54
india,Aug 2025,39
india,Sep 2025,60
india,Oct 2025,36
india,Nov 2025,40
india,Dec 2025,53
india,Jan 2026,73
india,Feb 2026,51
india,Mar 2026,54
india,Apr 2026,49
india,May 2026,42
india,Jun 2026,25
india,Jul 2026,23
