country,date,shipments
brazil,Jan 2015,11
brazil,Feb 2015,6
brazil,Mar 2015,17
brazil,Apr 2015,10
brazil,May 2015,10
brazil,Jun 2015,4
brazil,Jul 2015,6
brazil,Aug 2015,9
brazil,Sep 2015,4
brazil,Oct 2015,4
brazil,Nov 2015,6
brazil,Dec 2015,10
brazil,Jan 2016,5
brazil,Feb 2016,5
brazil,Mar 2016,3
brazil,Apr 2016,2
brazil,May 2016,6
brazil,Jun 2016,6
brazil,Jul 2016,5
brazil,Aug 2016,7
brazil,Sep 2016,9
brazil,Oct 2016,4
brazil,Nov 2016,6
brazil,Dec 2016,7
brazil,Jan 2017,9
brazil,Feb 2017,9
brazil,Mar 2017,10
brazil,Apr 2017,10
brazil,May 2017,10
brazil,Jun 2017,8
brazil,Jul 2017,8
brazil,Aug 2017,6
brazil,Sep 2017,5
brazil,Oct 2017,5
brazil,Nov 2017,10
brazil,Dec 2017,7
brazil,Jan 2018,4
brazil,Feb 2018,10
brazil,Mar 2018,37
brazil,Apr 2018,21
brazil,May 2018,22
brazil,Jun 2018,6
brazil,Jul 2018,11
brazil,Aug 2018,10
brazil,Sep 2018,10
brazil,Oct 2018,33
brazil,Nov 2018,19
brazil,Dec 2018,21
brazil,Jan 2019,24
brazil,Feb 2019,12
brazil,Mar 2019,22
brazil,Apr 2019,23
brazil,May 2019,32
brazil,Jun 2019,23
brazil,Jul 2019,33
brazil,Aug 2019,24
brazil,Sep 2019,17
brazil,Oct 2019,30
brazil,Nov 2019,18
brazil,Dec 2019,16
brazil,Jan 2020,21
brazil,Feb 2020,15
brazil,Mar 2020,29
brazil,Apr 2020,21
brazil,May 2020,8
brazil,Jun 2020,26
brazil,Jul 2020,14
brazil,Aug 2020,22
brazil,Sep 2020,21
brazil,Oct 2020,16
brazil,Nov 2020,30
brazil,Dec 2020,21
brazil,Jan 2021,9
brazil,Feb 2021,20
brazil,Mar 2021,22
brazil,Apr 2021,23
brazil,May 2021,17
brazil,Jun 2021,19
brazil,Jul 2021,15
brazil,Aug 2021,8
brazil,Sep 2021,25
brazil,Oct 2021,12
brazil,Nov 2021,13
brazil,Dec 2021,15
brazil,Jan 2022,15
brazil,Feb 2022,14
brazil,Mar 2022,10
brazil,Apr 2022,9
brazil,May 2022,4
brazil,Jun 2022,18
brazil,Jul 2022,14
brazil,Aug 2022,9
brazil,Sep 2022,7
brazil,Oct 2022,10
brazil,Nov 2022,10
brazil,Dec 2022,9
brazil,Jan 2023,16
brazil,Feb 2023,16
brazil,Mar 2023,20
brazil,Apr 2023,21
brazil,May 2023,14
brazil,Jun 2023,18
brazil,Jul 2023,12
brazil,Aug 2023,18
brazil,Sep 2023,15
brazil,Oct 2023,9
brazil,Nov 2023,18
brazil,Dec 2023,14
brazil,Jan 2024,10
brazil,Feb 2024,10
brazil,Mar 2024,10
brazil,Apr 2024,12
brazil,May 2024,5
brazil,Jun 2024,13
brazil,Jul 2024,11
brazil,Aug 2024,12
brazil,Sep 2024,10
brazil,Oct 2024,11
brazil,Nov 2024,15
brazil,Dec 2024,10
brazil,Jan 2025,10
brazil,Feb 2025,12
brazil,Mar 2025,13
brazil,Apr 2025,20
brazil,May 2025,18
brazil,Jun 2025,22
brazil,Jul 2025,18
brazil,Aug 2025,12
brazil,Sep 2025,8
brazil,Oct 2025,16
brazil,Nov 2025,6
brazil,Dec 2025,23
brazil,Jan 2026,25
brazil,Feb 2026,8
brazil,Mar 2026,22
brazil,Apr 2026,12
brazil,May 2026,9
brazil,Jun 2026,19
brazil,Jul 2026,13
canada,Jan 2015,1
canada,Feb 2015,4
canada,Mar 2015,3
canada,Apr 2015,5
canada,May 2015,1
canada,Jun 2015,1
canada,Aug 2015,2
canada,Sep 2015,2
canada,Oct 2015,1
canada,Nov 2015,1
canada,Dec 2015,1
canada,Jan 2016,1
canada,Feb 2016,2
canada,Mar 2016,3
canada,Apr 2016,1
canada,Jun 2016,1
canada,Oct 2016,1
canada,Dec 2016,1
canada,Mar 2017,2
canada,May 2017,1
canada,Jul 2017,4
canada,Aug 2017,1
canada,Sep 2017,1
canada,Oct 2017,3
canada,Nov 2017,1
canada,Dec 2017,1
canada,Mar 2018,1
canada,Apr 2018,3
canada,May 2018,1
canada,Jun 2018,3
canada,Jul 2018,4
canada,Aug 2018,2
canada,Sep 2018,2
canada,Oct 2018,1
canada,Nov 2018,2
canada,Apr 2019,1
canada,May 2019,1
canada,Jul 2019,2
canada,Aug 2019,3
canada,Sep 2019,3
canada,Oct 2019,5
canada,Nov 2019,2
canada,Dec 2019,1
canada,Jan 2020,1
canada,Mar 2020,1
canada,Apr 2020,1
canada,Jun 2020,1
canada,Jul 2020,2
canada,Oct 2020,1
canada,Nov 2020,1
canada,Feb 2021,3
canada,Mar 2021,4
canada,Jul 2021,3
canada,Aug 2021,4
canada,Dec 2021,2
canada,Jan 2022,1
canada,Apr 2022,2
canada,Jun 2022,1
canada,Aug 2022,1
canada,Nov 2022,4
canada,May 2023,1
canada,Jun 2023,3
canada,Aug 2023,1
canada,Sep 2023,3
canada,Nov 2023,1
canada,Dec 2023,1
canada,Feb 2024,1
canada,May 2024,1
canada,Jun 2024,1
canada,Sep 2024,2
canada,Oct 2024,4
canada,Dec 2024,1
canada,Feb 2025,2
canada,Jul 2025,1
canada,Sep 2025,2
canada,Oct 2025,2
canada,Feb 2026,1
canada,Mar 2026,1
canada,May 2026,1
canada,Jun 2026,2
canada,Jul 2026,1
mexico,Jan 2015,4
mexico,Feb 2015,3
mexico,Mar 2015,12
mexico,Apr 2015,8
mexico,May 2015,11
mexico,Jun 2015,5
mexico,Jul 2015,4
mexico,Aug 2015,7
mexico,Sep 2015,8
mexico,Oct 2015,6
mexico,Nov 2015,5
mexico,Dec 2015,8
mexico,Jan 2016,6
mexico,Feb 2016,2
mexico,Mar 2016,6
mexico,Apr 2016,3
mexico,May 2016,4
mexico,Jun 2016,9
mexico,Jul 2016,6
mexico,Aug 2016,4
mexico,Sep 2016,3
mexico,Oct 2016,10
mexico,Nov 2016,7
mexico,Dec 2016,11
mexico,Jan 2017,5
