Actual Duty,Bill of Lading,Carrier Name,Consignee,Consignee Address,Consignee Country,Consignee Name Native,Container No/ID,Container TEU,Country of Destination,Country of Origin,Date,Freight Term,Gross Weight,HS Code,HS Product Description,Incoterms,Marks Number,Master Bill of Lading,Measurment,Net Weight,No of Packages,Notify Party Address,Notify Party Name,Packages Quantity,Packages Type,Port of Delivery,Port of Destination,Port of Origin,Product Description,Product Description Native,Quantity,Shipment Mode,Shipper,Shipper Address,Shipper Name Native,Source Country,Std. Quantity,Std. Unit,Std. Unit Rate $,Unit,Unit Rate $,Value $,Vessel Name,_row_key,_page,_source_url,district_provavel
,DSVFAMD8096083,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCNU5565350,0,United States,India,2025-12-03T00:00:00,-,514,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,32857487,ONEYMUMF91804400,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGCYLIN,DRICAL ROLLER BEARINGHSN CODE : /,/ INV. NO. - SI INVOI,CE DATE - / / SB NO. DATE : .,. NET WT : . KGS",,2,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,2,PKG,0.0,PKG,,0,ONE MAGNIFICENCE,25153195254118269,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8096008,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCNU5565350,0,United States,India,2025-12-03T00:00:00,-,659,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,32857484,ONEYMUMF91804400,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGCYLIN,DRICAL ROLLER BEARINGANGULAR CONTACT BALL BEA,RINGTAPERED ROLLER BEARINGHSN CODE :,/ / / INV. NO. - SI,INV. DATE - / / SB NO.,DATE : . . NET WT : . KGS",,2,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,2,PKG,0.0,PKG,,0,ONE MAGNIFICENCE,25153195254118268,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8095786,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,NYKU4818864,0,United States,India,2025-12-03T00:00:00,-,515,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,32816768,ONEYMUMF92794600,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGCYLIN,DRICAL ROLLER BEARINGHSN CODE : /,INV. NO. - SI INV. DATE -,/ / SB NO. DATE : . . NET,WT : . KGS",,2,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,2,PKG,0.0,PKG,,0,ONE MAGNIFICENCE,25153195254118290,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8095978,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TCNU5565350,0,United States,India,2025-12-03T00:00:00,-,165,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,32857391,ONEYMUMF91804400,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGDEEP GROOVE BALL BEA,RINGTAPERED ROLLER BEARINGHSN CODE :,/ / / INV. NO. - SI,INV. DATE - / / SB NO.,DATE : . . NET WT : . KGS",,1,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,1,PKG,0.0,PKG,,0,ONE MAGNIFICENCE,25153195254118261,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0053815,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,BMOU6670887,0,United States,Brazil,2025-12-02T00:00:00,-,216,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,SCHAEFFLER BRASIL LTDA,HLCUSS5251039256,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,AUTO PARTS,,2,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,2,PKG,0.0,PKG,,0,MAERSK MONTE AZUL,25153195254005756,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0053816,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,BMOU6670887,0,United States,Brazil,2025-12-02T00:00:00,-,6383,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,SCHAEFFLER BRASIL LTDA,HLCUSS5251039256,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,AUTO PARTS,,29,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,29,PKG,0.0,PKG,,0,MAERSK MONTE AZUL,25153195254005757,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,,HAPAG LLOYD A G,Airlift USA Inc,988 Shopper Boulevard,UNITED STATES,,CAAU6987009,0,United States,India,2025-11-28T00:00:00,-,21452,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,NO MARKS . . . . . . . . .,HLCUBO12510ARPU8,0,21452,,988 Shopper Boulevard,Airlift USA Inc,,,-,Norfolk,JNPT,PRECISION TUBE (ERW/CEW CARBON TOTAL PACKAGES ONLY (TWENTY NINE PACKAGES ONLY) PRECISION TUBE (ERW/CEW CARBON STEEL MECHANICAL ROUND TUBE) HS CODE HBL NO MUM,,29,Not Available,Airlift Global Carriers Pvt. Ltd.,"501 Kailash Tower, A-Wing, Opp. Regency Hotel, N. S. Phadke Marg, Andheri (East)",,,29,NOS,0.0,PCS,,0,BREMEN EXPRESS,25153195255113910,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Norfolk, VA"
,,MAERSK LINE,IMELUZ SOC COOP ANDALUZA,"SA 13 CALLE PINTORES , POLIGONO INDUSTRIAL ROTA P P TRES",,,CAAU7972868,0,United States,Mexico,2025-11-28T00:00:00,-,42011,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,NO MARKS,MAEU260745285,0,19073,,"C/Princ, Esa, 31",Containers S.A.,,,-,Houston,Veracruz,TUBERIA DE ACERO GALVANIZADO,,26,Not Available,INTERCONTINENTAL ICK MEX SA DE CV,OFICINA 103 AV. PASEO DE LOS TRIUNF,,,26,PKG,0.0,PKG,,0,JAMAICA EXPRESS,25153195255108141,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Houston-Galveston, TX"
,,,"CTLLAX, Inc.","4281 Katella Ave., Suite 200",UNITED STATES,,GCXU5220989,0,United States,India,2025-11-26T00:00:00,-,19500,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,VARIOUS MARKS & NUMBERS,ONEYMUMF87296700,50,0,,"4281 Katella Ave., Suite 200","CTLLAX, Inc.",,,-,Los Angeles,JNPT,"BALL BEARINGS OR ROLLER BEARINGS AND SPARE PA,RTS",,300,Not Available,CTL Logistics (India) Pvt. Ltd.,"BSEL Tech Park, C-912 Plot No-39/5 & 39/5A, Sector-30 A",,,300,PKG,0.0,PKG,,0,YM UNIFORMITY,25153195253828869,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Los Angeles, CA"
,,,Amity Global Logistics Inc,50 Cragwood Road Suite 115,United States,,"OOCU8855359,TGBU9649526",0,United States,India,2025-11-25T00:00:00,-,38750,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,"MARKS,NO MARKS,NO SHIPPING",COSU6432220410,0,0,,50 Cragwood Road Suite 115,Amity Global Logistics Inc,,,-,New York Newark Area Newark New Jersey,Mundra,EMT HOT DIPPED GALVANISED CONDUITS,,46,Not Available,Steam Pulse India Pvt Ltd,"Unit 1026, Summit Business Park 1026",,,46,PKG,0.0,PKG,,0,ONE MAGNIFICENCE,25153195253765527,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
,HLCUME3PJ35910AA,,Uzauto Motor JSC,"81, Humo Street, Asaka",UZBEKISTAN,,FSCU8434065,0,United States,Mexico,2025-11-22T00:00:00,-,4927,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,".,SA69649",HLCUME3251035910,0,0,,"81, Humo Street, Asaka",Uzauto Motor JSC,,,-,Houston,OP Mexico,"PIPE ASM-F/TNK FIL (W/ FIL HOSE),NET WEIGHT .",,13,Not Available,Stant Manufactura De Mexico S.A.C.,Circuito Corral De Piedras 37,,,13,NOS,0.0,PCS,,0,RDO CONCORD,25153195253621184,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Houston-Galveston, TX"
,,ONEY,DALIAN KERRY LOGISTICS CO LTD,ROOM 906 NO.61 RENMIN RD DALIAN,CHINA,,TCLU8940571,0,United States,Canada,2025-11-21T00:00:00,-,15060,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,NO MARKS,ONEYRICFLM172700,35,15060,,ROOM 906 NO.61 RENMIN RD DALIAN,DALIAN KERRY LOGISTICS CO LTD,,,-,Tacoma,OP Canada,"STEEL OR IRON PIPES & TUBES, WELDED, CIRCULAR,CROSS SECTION (NOT CAST) (UNDER . MM) AND,OTHER, TUBES, PIPES & HOLLOW PROFILES, WELDE,D, OF CIRCULAR CROSS-SECTION, OF IRON OR NO,N-ALLOY STEEL, N.E.S CERS NO (CANADA) P.O.R:,CERS AR",,22,Not Available,Harbour Faith Logistics Inc,Suite 110 13888 Wireless Way,,,22,NOS,0.0,PCS,,0,YM ORCHID,25153195253674428,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Seattle, WA"
,DSVFAMD8095515,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,HLBU2632670,0,United States,India,2025-11-19T00:00:00,-,720,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32815627,HLCUBO12509BSGQ0,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGTAPER,ED ROLLER BEARINGCYLINDRICAL ROLLER BEARINGAN,GULAR CONTACT BALL BEARINGHSN CODE :,/ / / / INVOICE N,O. - SI INVOICE DATE - / / SB,NO. DATE : . . NET WT : .,KGS",,3,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,3,PKG,0.0,PKG,,0,TOLTEN,25153195253541628,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8095520,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,HLBU2632670,0,United States,India,2025-11-19T00:00:00,-,379,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32777893,HLCUBO12509BSGQ0,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGTAPERED ROLLER BEARI,NGHSN CODE : / / INVOIC,E NO. - SI INVOICE DATE - / /,SB NO. DATE : . . NET WT : .,KGS",,2,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,2,PKG,0.0,PKG,,0,TOLTEN,25153195253541625,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8095517,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,HLBU2632670,0,United States,India,2025-11-19T00:00:00,-,520,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32777892,HLCUBO12509BSGQ0,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGTAPERED ROLLER BEARI,NGDEEP GROOVE BALL BEARINGHSN CODE :,/ / / / INVOICE N,O. - SI INVOICE DATE - / / SB,NO. DATE : . . NET WT : .,KGS",,2,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,2,PKG,0.0,PKG,,0,TOLTEN,25153195253541627,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8095516,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,HLBU2632670,0,United States,India,2025-11-19T00:00:00,-,168,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32810875,HLCUBO12509BSGQ0,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGTAPERED ROLLER BEARI,NGHSN CODE : / / /,INVOICE NO. - SI INVOICE DATE -,/ / SB NO. DATE : . . NET,WT : . KGS",,1,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,1,PKG,0.0,PKG,,0,TOLTEN,25153195253541631,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,BWLESSZ59245002,,NSK Canada Inc.,5585 Macadam Road,Canada,,HLBU2424614,0,United States,Brazil,2025-11-19T00:00:00,-,1041,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,NSK / BRASIL,HLCUSS5250984957,0,0,,5585 Macadam Road,NSK Canada Inc.,,,-,New York Newark Area Newark New Jersey,OP Brazil,BALL BEARING,,78,Not Available,NSK Brasil Ltda.,"Avenida Vereador Joao Batista Fitipaldi, 66 - Vila Maluf",,,78,PKG,0.0,PKG,,0,MAERSK FREEPORT,25153195253569452,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
,DSVFAMD8095521,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,HLBU2632670,0,United States,India,2025-11-19T00:00:00,-,837,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32773818,HLCUBO12509BSGQ0,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGDEEP GROOVE BALL BEA,RINGTAPERED ROLLER BEARINGHSN CODE :,/ / / INVOICE NO. - SI,INVOICE DATE - / / SB NO.,DATE : . . NET WT : . KGS",,4,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,4,PKG,0.0,PKG,,0,TOLTEN,25153195253541626,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8095518,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,HLBU2632670,0,United States,India,2025-11-19T00:00:00,-,696,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32778913,HLCUBO12509BSGQ0,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGT,APERED ROLLER BEARINGCYLINDRICAL ROLLER BEARI,NGTRACK ROLLERDEEP GROOVE BALL BEARINGSPHERIC,AL ROLLER BEARINGHSN CODE : /,/ / / / INVOICE N,O. - SI INVOICE DATE - / / SB,NO. DATE : . . NET WT",,11,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,11,PKG,0.0,PKG,,0,TOLTEN,25153195253541636,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,,HAPAG LLOYD A G,Capricorn Logistics Inc,Tower Lane,UNITED STATES,,"HAMU4312423,HLBU3157894",0,United States,India,2025-11-16T00:00:00,-,41040,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,NO MARKS . . . . . . . . . . . . . . . . . . . .,HLCUBO12509BQMK6,0,41040,,Tower Lane,Capricorn Logistics Inc,,,-,Savannah,Mundra,PCS ( BUNDLES) EMT GALVANISED CONDUITS AS PER UL APPROVAL. BOTH ENDS PLAIN PROTECTED WITH NO PLASTIC CAPS. IN THE LENGTH OF FEET ( . MTR.) LENGTH TOLERANCE MM.,,51,Not Available,Capricorn Logistics Pvt. Ltd.,"Ebenezer Mansion 97/H26, Palayamkottai Road Teachers Colony Junction",,,51,NOS,0.0,PCS,,0,TOLTEN,25153195254994587,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Savannah, GA"
,DSVFCPQ0053254,DSVF,SCHAEFFLER VEHICLE LIFETIME SOLUTIO,"21487 ROYALTON ROADSTRONGSVILLE , OHIO , 44149",United States,,NIDU5233114,0,United States,Brazil,2025-11-16T00:00:00,-,122,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,SCHAEFFLER BRASIL LTDA,HLCUSS5250942521,0,122,,-,Z To Order and NA,,,-,Charleston,OP Brazil,AUTO PARTS,,2,Not Available,Schaeffler Brasil Ltda,Av Independencia 3500 A,,,2,PKG,0.0,PKG,,0,MALIAKOS,25153195255130588,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,,,KRYSTAL LOGISTICS PANAMA,122212 AVENIDA D,Panama,,"MRSU7934274,SELU4091313",0,United States,Mexico,2025-11-15T00:00:00,-,79873,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",,NO MARKS,MAEU261318168,0,0,,122212 AVENIDA D,KRYSTAL LOGISTICS PANAMA,,,-,Houston,Veracruz,TUBERIA DE ACERO GALVANIZADO,,55,Not Available,INTERCONTINENTAL ICK MEX SA DE CV,97 A CALLE SAN JUAN BOSCO ZAPOPAN,,,55,PKG,0.0,PKG,,0,MAERSK CHAMBAL,25153195253373756,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Houston-Galveston, TX"
,,,Red Line Spedition & Logistik GmbH,Marburger Str. 427,Germany,,HLBU8273747,0,United States,Mexico,2025-11-15T00:00:00,-,26382,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,NO MARKS,HLCUME3251073171,0,0,,Memmingerstrasse 68 - Werk 1,Liebherr Components GmbH,,,-,Miami,OP Mexico,BALL SLEWING RING,,3,Not Available,Liebherr Monterrey,Carretera Monterrey - Garcia 11 El Durazno,,,3,NOS,0.0,PCS,,0,SFL HAWAII,25153195253374952,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Miami, FL"
,,,HIDROMEK HIDROLIK VE MEKANIK MAKI,AHI EVRAN OSB MH. OSMANLI CD.NO:1 SANKARA 06 06935,MARSHALL ISLANDS,,FCIU9407276,0,United States,Mexico,2025-11-14T00:00:00,-,18480,848210,"Ball or roller bearings, and parts thereof:, Ball bearings",,NO MARKS,MEDUXF625362,0,0,,AHI EVRAN OSB MH. OSMANLI CD.NO:1 SANKARA 06 06935,HIDROMEK HIDROLIK VE MEKANIK MAKI,,,-,Houston,OP Mexico,"BALL OR ROLLER BEARINGS - BALL BEARINGS - ROL,LER SLEWING RING",,6,Not Available,Liebherr Monterrey S de RL de CV,Carretera Monterrey Garcia,,,6,PKG,0.0,BOX,,0,MSC BHAVYA V,25153195253324960,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Houston-Galveston, TX"
,,,Kluane Colombia SAS,Autopista Medellin Calle 80 Km 7 Costado Occidental Centro Celta Trade Park Uno Bodega 73A,Colombia,,FCIU4137049,0,United States,Mexico,2025-11-12T00:00:00,-,50706,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",,NO MARKS NO NUMBERS,ZIMUMEX960516,0,0,,CALLE 50 71A-23,FAST EXPRESS CARGO SAS,,,-,Houston,OP Mexico,TUBERIA PARA PERFORACION O SONDEO,,79,Not Available,KDL Mexico S A de C V,Antimonio No. 123 Indl CP,,,79,PKG,0.0,PKG,,0,ZIM BALTIMORE,25153195253284298,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Houston-Galveston, TX"
,DSVFCPQ0052681,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,CAIU7912049,0,United States,Brazil,2025-11-11T00:00:00,-,7609,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5250942119,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,AUTO PARTS,,20,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,20,PKG,0.0,PKG,,0,MAERSK FRANKFURT,25153195253213702,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0052679,,SCHAEFFLER VEHICLE LIFETIME SOLUTIO,"21487 ROYALTON ROADSTRONGSVILLE , OHIO , 44149",United States,,CAIU7912049,0,United States,Brazil,2025-11-11T00:00:00,-,47,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5250942119,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,AUTO PARTS,,1,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,1,PKG,0.0,PKG,,0,MAERSK FRANKFURT,25153195253213700,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFCPQ0052680,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,CAIU7912049,0,United States,Brazil,2025-11-11T00:00:00,-,149,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,SCHAEFFLER BRASIL LTDA,HLCUSS5250942119,0,0,,-,Z To Order and NA,,,-,Charleston,OP Brazil,AUTO PARTS,,1,Not Available,Schaeffler Brasil Ltda,Avenida Independencia 3500 Bairro Eden C P 18087-101,,,1,PKG,0.0,PKG,,0,MAERSK FRANKFURT,25153195253213701,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,CHSL528260639BOM,,Z To Order and NA,-,Canada,,FANU1882996,0,United States,India,2025-11-10T00:00:00,-,110870,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",,1-24,HLCUBO12509AULB0,0,0,,-,Z To Order and NA,,,-,New York Newark Area Newark New Jersey,Mundra,GI PIPES,,24,Not Available,Z To Order and NA,-,,,24,PKG,0.0,PKG,,0,TOLTEN,25153195253137765,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
,DSVFAMD8094905,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,FANU3075062,0,United States,India,2025-11-10T00:00:00,-,387,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32726061,HLCUBO12509BDMJ7,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSANGULAR CONTACT BALL BEARINGC,YLINDRICAL ROLLER BEARINGTAPERED ROLLER BEARI,NGHSN CODE : / / INVOIC,E NO. - SI INVOICE DATE - / /,SB NO. DATE : . . NET WT : .,KGS",,2,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,2,PKG,0.0,PKG,,0,SPIL KARTIKA,25153195253126576,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,DSVFAMD8095262,,Schaeffler Group USA Inc,3900 S Range Line Road,United States,,TRHU4946778,0,United States,India,2025-11-10T00:00:00,-,2663,848210,"Ball or roller bearings, and parts thereof:, Ball bearings:",,32773819,HLCUBO12509BDQD3,0,0,,-,Z To Order and NA,,,-,Charleston,JNPT,"AUTOMOTIVE PARTSDEEP GROOVE BALL BEARINGCYLIN,DRICAL ROLLER BEARINGSPHERICAL ROLLER BEARING,HSN CODE : / / INVOICE,NO. - SI INVOICE DATE - / / S,B NO. DATE : . . NET WT : .,KGS",,14,Not Available,Schaeffler India Ltd,"Survey No. 950 Rayakottah Road, Krishnagiri District",,,14,PKG,0.0,PKG,,0,SPIL KARTIKA,25153195253125087,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"Charleston, SC"
,CHSL528260639BOM,,Z To Order and NA,-,Canada,,"FANU1727454,GCXU5140420,HLBU3138528,MTSU9668140",0,United States,India,2025-11-10T00:00:00,-,110870,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",,"1-20,1-24,1-25",HLCUBO12509AULB0,0,0,,-,Z To Order and NA,,,-,New York Newark Area Newark New Jersey,Mundra,GI PIPES,,93,Not Available,Z To Order and NA,-,,,93,PKG,0.0,PKG,,0,TOLTEN,25153195253137764,page_li5,https://app.volza.com/workspace/search/24846649#Shipments,"New York, NY"
