name,date,shipments,country
Apolo Tubulars S/A,Jul 2017,10,brazil
Apolo Tubulars S/A,Oct 2017,9,brazil
Apolo Tubulars S/A,Apr 2020,1,brazil
Apolo Tubulars S/A,Jul 2020,1,brazil
Apolo Tubulars S/A,Jan 2021,1,brazil
Apolo Tubulars S/A,Jul 2021,2,brazil
Apolo Tubulars S/A,Oct 2021,4,brazil
Apolo Tubulars S/A,Jan 2022,1,brazil
Apolo Tubulars S/A,Apr 2022,1,brazil
Arvedi Metalfer Do Brasil,Oct 2017,3,brazil
Arvedi Metalfer Do Brasil,Jan 2018,2,brazil
Arvedi Metalfer Do Brasil,Apr 2018,1,brazil
Arvedi Metalfer Do Brasil,Jul 2018,2,brazil
Arvedi Metalfer Do Brasil,Jan 2019,1,brazil
Arvedi Metalfer Do Brasil,Jul 2019,1,brazil
Arvedi Metalfer Do Brasil,Oct 2019,2,brazil
Arvedi Metalfer Do Brasil,Oct 2021,3,brazil
Arvedi Metalfer Do Brasil,Jan 2022,3,brazil
Arvedi Metalfer Do Brasil,Apr 2022,5,brazil
Stemcor Usa,Jul 2015,14,brazil
Tuper,Jan 2015,5,brazil
Tuper,Apr 2022,7,brazil
Apolo Tubulars International,Apr 2022,11,brazil
Tuper Tog,Jan 2022,8,brazil
Metalurgica Golin S A,Apr 2022,3,brazil
Metalurgica Golin S A,Jan 2023,3,brazil
Tuper S A,Jan 2022,5,brazil
Tuper S A,Jul 2022,1,brazil
Apolo Tubulars Sn,Jan 2022,6,brazil
Marcegaglia Do Brasil,Apr 2015,4,brazil
Marcegaglia Do Brasil,Jan 2018,2,brazil
Tuper Avenida Prefeito Ornith,Apr 2022,4,brazil
Vallourec Solu Es Tubulares Do Bra,Apr 2026,3,brazil
Metalurgica Golin,Oct 2022,3,brazil
Robor,Jan 2015,2,brazil
Robor,Apr 2015,1,brazil
Apolo Tubulars Av Dr Leo,Apr 2021,1,brazil
Apolo Tubulars Av Dr Leo,Jul 2021,1,brazil
M&I Comercio E Servicos,Jul 2019,2,brazil
Arcelormittal Prod Research,Jul 2020,2,canada
Arcelormittal Prod Research,Oct 2020,4,canada
Arcelormittal Prod Research,Jan 2021,3,canada
Arcelormittal Prod Research,Apr 2021,3,canada
Arcelormittal Prod Research,Jul 2021,1,canada
Arcelormittal Prod Research,Oct 2021,1,canada
Boart Longyear,Jan 2023,3,canada
Boart Longyear,Oct 2023,2,canada
Boart Longyear,Apr 2024,1,canada
Imperial Steel Products,Jul 2017,1,canada
Imperial Steel Products,Oct 2019,1,canada
Imperial Steel Products,Jan 2020,1,canada
Imperial Steel Products,Jan 2022,1,canada
Imperial Steel Products,Oct 2022,1,canada
Imperial Steel Products,Oct 2023,1,canada
Oil Lift Technology,Jul 2017,1,canada
Oil Lift Technology,Oct 2017,1,canada
Oil Lift Technology,Jan 2018,1,canada
Arzon,Oct 2016,2,canada
Arzon,Jan 2017,1,canada
A Hartrodt Canada,Apr 2015,1,canada
A Hartrodt Canada,Apr 2016,1,canada
A Hartrodt Canada,Jul 2016,1,canada
Tube Investments Of India,Apr 2026,2,canada
Burford International,Jan 2023,2,canada
Ti Automotive Canada,Jul 2020,1,canada
Ti Automotive Canada,Apr 2021,1,canada
Prestige Guitars,Apr 2019,1,canada
Prestige Guitars,Jan 2020,1,canada
Caledon Tubing,Apr 2017,1,canada
Caledon Tubing,Jul 2018,1,canada
H E Industrial,Jul 2018,2,canada
Renaissance International,Oct 2015,1,canada
Renaissance International,Apr 2016,1,canada
Thyssenkrupp Presta Danville,Jan 2015,2,canada
Odyssey Shipping,Jan 2022,1,canada
Gillespie Munro Abi,Jan 2019,1,canada
Urecon,Jul 2018,1,canada
Polylink Global,Jan 2018,1,canada
Tubos De Acero De Mexico,Jan 2015,19,mexico
Tubos De Acero De Mexico,Apr 2016,1,mexico
Tubos De Acero De Mexico,Oct 2016,6,mexico
Tubos De Acero De Mexico,Apr 2018,18,mexico
Tubos De Acero De Mexico,Jul 2018,3,mexico
Tubos De Acero De Mexico,Oct 2018,17,mexico
Tubos De Acero De Mexico,Jan 2019,2,mexico
Tubos De Acero De Mexico,Apr 2019,24,mexico
Tubos De Acero De Mexico,Jul 2019,1,mexico
Tubos De Acero De Mexico,Oct 2019,3,mexico
Tubos De Acero De Mexico,Jan 2020,1,mexico
Tubos De Acero De Mexico,Apr 2021,1,mexico
Tubos De Acero De Mexico,Jul 2021,20,mexico
Tubos De Acero De Mexico,Jan 2022,7,mexico
Tubos De Acero De Mexico,Apr 2022,13,mexico
Tubos De Acero De Mexico,Oct 2022,1,mexico
Tubos De Acero De Mexico,Apr 2025,8,mexico
Tubos De Acero De Mexico,Jul 2026,1,mexico
Garay Componentes Tubulares De C,Apr 2021,2,mexico
Garay Componentes Tubulares De C,Jul 2021,2,mexico
Garay Componentes Tubulares De C,Oct 2021,1,mexico
Garay Componentes Tubulares De C,Jul 2022,1,mexico
Garay Componentes Tubulares De C,Apr 2023,1,mexico
Garay Componentes Tubulares De C,Jul 2023,3,mexico
Garay Componentes Tubulares De C,Oct 2023,1,mexico
Garay Componentes Tubulares De C,Jan 2024,2,mexico
Garay Componentes Tubulares De C,Apr 2024,5,mexico
Garay Componentes Tubulares De C,Jul 2024,2,mexico
Garay Componentes Tubulares De C,Oct 2024,3,mexico
Garay Componentes Tubulares De C,Jan 2025,3,mexico
Garay Componentes Tubulares De C,Apr 2026,2,mexico
Garay Componentes Tubulares De C,Jul 2026,1,mexico
Metal Melting Supplies,Jan 2015,1,mexico
Metal Melting Supplies,Apr 2015,1,mexico
Metal Melting Supplies,Jul 2015,3,mexico
Metal Melting Supplies,Oct 2015,1,mexico
Metal Melting Supplies,Jan 2016,3,mexico
Metal Melting Supplies,Apr 2016,3,mexico
Metal Melting Supplies,Jul 2016,2,mexico
Metal Melting Supplies,Oct 2016,2,mexico
Metal Melting Supplies,Jan 2017,1,mexico
Metal Melting Supplies,Apr 2017,2,mexico
Metal Melting Supplies,Jul 2017,2,mexico
Metal Melting Supplies,Jan 2018,1,mexico
Metal Melting Supplies,Apr 2018,1,mexico
Seah Steel,Jan 2021,20,mexico
Conduit De,Jul 2015,1,mexico
Conduit De,Oct 2015,1,mexico
Conduit De,Oct 2017,1,mexico
Conduit De,Jan 2020,2,mexico
Conduit De,Oct 2020,2,mexico
Conduit De,Jan 2021,1,mexico
Conduit De,Jul 2021,1,mexico
Conduit De,Oct 2021,1,mexico
Conduit De,Jan 2024,2,mexico
Conduit De,Apr 2024,3,mexico
Conduit De,Jul 2024,4,mexico
Tubac De,Oct 2018,2,mexico
Tubac De,Apr 2019,7,mexico
Tubac De,Jul 2019,3,mexico
Tubac De,Jan 2020,2,mexico
Tubac De,Apr 2020,3,mexico
Tubac De,Jul 2020,2,mexico
Intercontinental Ick Mex De,Apr 2022,1,mexico
Intercontinental Ick Mex De,Jul 2022,1,mexico
Intercontinental Ick Mex De,Jul 2024,1,mexico
Intercontinental Ick Mex De,Apr 2025,1,mexico
Intercontinental Ick Mex De,Jul 2025,4,mexico
Intercontinental Ick Mex De,Oct 2025,3,mexico
Intercontinental Ick Mex De,Jan 2026,5,mexico
Intercontinental Ick Mex De,Apr 2026,2,mexico
Automotive Bend De Mexico S De R,Apr 2025,1,mexico
Automotive Bend De Mexico S De R,Jul 2025,1,mexico
Automotive Bend De Mexico S De R,Oct 2025,2,mexico
Automotive Bend De Mexico S De R,Jan 2026,2,mexico
Automotive Bend De Mexico S De R,Apr 2026,3,mexico
Stant Manufactura De Mexico S A De,Oct 2024,3,mexico
Stant Manufactura De Mexico S A De,Jan 2025,2,mexico
Stant Manufactura De Mexico S A De,Oct 2025,3,mexico
Plantaciones De Balsa Plantabal S A,Jul 2016,2,mexico
Plantaciones De Balsa Plantabal S A,Oct 2016,1,mexico
Plantaciones De Balsa Plantabal S A,Jan 2017,2,mexico
Plantaciones De Balsa Plantabal S A,Jul 2017,1,mexico
Plantaciones De Balsa Plantabal S A,Oct 2017,2,mexico
Aceros Camesa S A De C V,Jul 2016,4,mexico
Aceros Camesa S A De C V,Oct 2016,1,mexico
Aceros Camesa S A De C V,Apr 2017,1,mexico
Aceros Camesa S A De C V,Oct 2023,1,mexico
Thyssenkrupp Steel Europe,Oct 2019,7,mexico
Productos Especializados De Acero,Oct 2016,1,mexico
Productos Especializados De Acero,Jul 2022,1,mexico
Productos Especializados De Acero,Oct 2023,1,mexico
Productos Especializados De Acero,Apr 2024,1,mexico
Productos Especializados De Acero,Jul 2024,1,mexico
Productos Especializados De Acero,Oct 2024,1,mexico
Bnca Monterrey,Jan 2025,1,mexico
Bnca Monterrey,Apr 2025,4,mexico
Donaldson S A De C V,Apr 2019,1,mexico
Donaldson S A De C V,Jul 2019,1,mexico
Donaldson S A De C V,Oct 2019,1,mexico
Donaldson S A De C V,Jan 2020,2,mexico
Tube Investments Of India,Jan 2015,35,india
Tube Investments Of India,Apr 2015,40,india
Tube Investments Of India,Jul 2015,45,india
Tube Investments Of India,Oct 2015,56,india
Tube Investments Of India,Jan 2016,42,india
Tube Investments Of India,Apr 2016,113,india
Tube Investments Of India,Jul 2016,128,india
Tube Investments Of India,Oct 2016,123,india
Tube Investments Of India,Jan 2017,159,india
Tube Investments Of India,Apr 2017,190,india
Tube Investments Of India,Jul 2017,123,india
Tube Investments Of India,Oct 2017,203,india
Tube Investments Of India,Jan 2018,24,india
Tube Investments Of India,Apr 2018,10,india
Tube Investments Of India,Jul 2018,10,india
Tube Investments Of India,Oct 2018,42,india
Tube Investments Of India,Jan 2019,23,india
Tube Investments Of India,Apr 2019,27,india
Tube Investments Of India,Jul 2019,22,india
