HTS Number,Country,District,Year,Month,calculated_duties,charges_ins_freight,customs_value,landed_duty_paid,qty_first_kilograms,qty_first_number,qty_second_kilograms,kg_total,date
730630,Canada,"Ogdensburg, NY",2022,April,0,12137,2760828,2772965,1171173.0,0.0,0.0,1171173.0,2022-04-01
730630,Canada,"Pembina, ND",2022,April,0,12197,3635666,3647863,1851988.0,0.0,0.0,1851988.0,2022-04-01
730630,Canada,"Portland, ME",2022,April,0,44,4261,4305,1810.0,0.0,0.0,1810.0,2022-04-01
730630,Canada,"Seattle, WA",2022,April,0,346,147551,147897,32607.0,0.0,0.0,32607.0,2022-04-01
730630,Canada,"St. Albans, VT",2022,April,0,9494,2448251,2457745,989680.0,0.0,0.0,989680.0,2022-04-01
730630,Canada,"Buffalo, NY",2022,May,0,40900,4204179,4245079,2059116.0,0.0,0.0,2059116.0,2022-05-01
730630,Canada,"Detroit, MI",2022,May,0,198519,20853231,21051750,9808244.0,0.0,0.0,9808244.0,2022-05-01
730630,Canada,"Great Falls, MT",2022,May,0,7520,774134,781654,429365.0,0.0,0.0,429365.0,2022-05-01
730630,Canada,"Laredo, TX",2022,May,0,1,2663,2664,1775.0,0.0,0.0,1775.0,2022-05-01
730630,Canada,"Ogdensburg, NY",2022,May,0,22982,2670692,2693674,1278329.0,0.0,0.0,1278329.0,2022-05-01
730630,Canada,"Pembina, ND",2022,May,0,26640,6826001,6852641,2478641.0,0.0,0.0,2478641.0,2022-05-01
730630,Canada,"Seattle, WA",2022,May,0,852,204356,205208,117681.0,0.0,0.0,117681.0,2022-05-01
730630,Canada,"St. Albans, VT",2022,May,0,7959,2222694,2230653,857077.0,0.0,0.0,857077.0,2022-05-01
730630,Canada,"Buffalo, NY",2022,June,0,54967,5434856,5489823,2508968.0,0.0,0.0,2508968.0,2022-06-01
730630,Canada,"Detroit, MI",2022,June,0,219061,19811390,20030451,9947219.0,0.0,0.0,9947219.0,2022-06-01
730630,Canada,"Great Falls, MT",2022,June,0,17680,1177259,1194939,865834.0,0.0,0.0,865834.0,2022-06-01
730630,Canada,"Ogdensburg, NY",2022,June,0,4959,999927,1004886,402229.0,0.0,0.0,402229.0,2022-06-01
730630,Canada,"Pembina, ND",2022,June,0,6254,2793084,2799338,1006706.0,0.0,0.0,1006706.0,2022-06-01
730630,Canada,"Portland, ME",2022,June,0,150,51569,51719,37815.0,0.0,0.0,37815.0,2022-06-01
730630,Canada,"Seattle, WA",2022,June,0,460,108572,109032,76309.0,0.0,0.0,76309.0,2022-06-01
730630,Canada,"St. Albans, VT",2022,June,0,6838,2030272,2037110,787758.0,0.0,0.0,787758.0,2022-06-01
