country,date,shipments
mexico,Jun 2020,2
mexico,Jul 2020,3
mexico,Oct 2020,1
mexico,Nov 2020,2
mexico,Dec 2020,3
mexico,Jan 2021,12
mexico,Feb 2021,15
mexico,Mar 2021,1
mexico,Apr 2021,3
mexico,May 2021,4
mexico,Jun 2021,1
mexico,Jul 2021,1
mexico,Aug 2021,5
mexico,Sep 2021,20
mexico,Oct 2021,1
mexico,Nov 2021,4
mexico,Dec 2021,2
mexico,Jan 2022,1
mexico,Feb 2022,9
mexico,Mar 2022,2
mexico,Apr 2022,13
mexico,May 2022,3
mexico,Jul 2022,5
mexico,Aug 2022,1
mexico,Sep 2022,3
mexico,Oct 2022,1
mexico,Nov 2022,4
mexico,Dec 2022,2
mexico,Jan 2023,1
mexico,May 2023,1
mexico,Jun 2023,1
mexico,Aug 2023,1
mexico,Sep 2023,3
mexico,Oct 2023,2
mexico,Nov 2023,1
mexico,Dec 2023,1
mexico,Jan 2024,5
mexico,Mar 2024,2
mexico,Apr 2024,6
mexico,May 2024,1
mexico,Jun 2024,4
mexico,Jul 2024,3
mexico,Aug 2024,4
mexico,Sep 2024,4
mexico,Nov 2024,7
mexico,Dec 2024,7
mexico,Jan 2025,1
mexico,Feb 2025,8
mexico,Mar 2025,6
mexico,Apr 2025,5
mexico,May 2025,14
mexico,Jun 2025,1
mexico,Jul 2025,6
mexico,Aug 2025,2
mexico,Sep 2025,2
mexico,Oct 2025,4
mexico,Nov 2025,6
mexico,Dec 2025,2
mexico,Jan 2026,1
mexico,Feb 2026,6
mexico,Mar 2026,9
mexico,Apr 2026,6
mexico,May 2026,3
mexico,Jun 2026,1
mexico,Jul 2026,6
india,Jan 2015,59
india,Feb 2015,55
india,Mar 2015,60
india,Apr 2015,87
india,May 2015,56
india,Jun 2015,43
india,Jul 2015,72
india,Aug 2015,64
india,Sep 2015,40
india,Oct 2015,43
india,Nov 2015,71
india,Dec 2015,24
india,Jan 2016,42
india,Feb 2016,41
india,Mar 2016,51
india,Apr 2016,61
india,May 2016,72
india,Jun 2016,99
india,Jul 2016,76
india,Aug 2016,102
india,Sep 2016,89
india,Oct 2016,113
india,Nov 2016,95
india,Dec 2016,94
india,Jan 2017,106
india,Feb 2017,91
india,Mar 2017,106
india,Apr 2017,145
india,May 2017,107
india,Jun 2017,139
india,Jul 2017,122
india,Aug 2017,80
india,Sep 2017,166
india,Oct 2017,142
india,Nov 2017,123
india,Dec 2017,178
india,Jan 2018,117
india,Feb 2018,63
india,Mar 2018,84
india,Apr 2018,71
india,May 2018,67
india,Jun 2018,89
india,Jul 2018,74
india,Aug 2018,56
india,Sep 2018,43
india,Oct 2018,87
india,Nov 2018,64
india,Dec 2018,62
india,Jan 2019,76
india,Feb 2019,81
india,Mar 2019,73
india,Apr 2019,58
india,May 2019,84
india,Jun 2019,68
india,Jul 2019,84
india,Aug 2019,66
india,Sep 2019,54
india,Oct 2019,50
india,Nov 2019,55
india,Dec 2019,53
india,Jan 2020,44
india,Feb 2020,48
india,Mar 2020,37
india,Apr 2020,56
india,May 2020,15
india,Jun 2020,24
india,Jul 2020,25
india,Aug 2020,44
india,Sep 2020,47
india,Oct 2020,47
india,Nov 2020,46
india,Dec 2020,31
india,Jan 2021,47
india,Feb 2021,61
india,Mar 2021,38
india,Apr 2021,50
india,May 2021,51
india,Jun 2021,68
india,Jul 2021,103
india,Aug 2021,103
india,Sep 2021,78
india,Oct 2021,86
india,Nov 2021,65
india,Dec 2021,115
india,Jan 2022,85
india,Feb 2022,88
india,Mar 2022,103
india,Apr 2022,102
india,May 2022,116
india,Jun 2022,94
india,Jul 2022,106
india,Aug 2022,82
india,Sep 2022,133
india,Oct 2022,78
india,Nov 2022,45
india,Dec 2022,82
india,Jan 2023,96
india,Feb 2023,64
india,Mar 2023,82
india,Apr 2023,71
india,May 2023,94
india,Jun 2023,97
india,Jul 2023,73
india,Aug 2023,77
india,Sep 2023,68
india,Oct 2023,70
india,Nov 2023,84
india,Dec 2023,87
india,Jan 2024,80
india,Feb 2024,101
india,Mar 2024,111
india,Apr 2024,76
india,May 2024,88
india,Jun 2024,113
india,Jul 2024,157
india,Aug 2024,94
india,Sep 2024,146
india,Oct 2024,105
india,Nov 2024,64
india,Dec 2024,76
india,Jan 2025,108
india,Feb 2025,139
india,Mar 2025,122
india,Apr 2025,123
india,May 2025,123
india,Jun 2025,105
india,Jul 2025,134
india,Aug 2025,123
india,Sep 2025,81
india,Oct 2025,113
india,Nov 2025,101
india,Dec 2025,141
india,Jan 2026,145
india,Feb 2026,115
india,Mar 2026,190
india,Apr 2026,163
india,May 2026,154
india,Jun 2026,250
india,Jul 2026,184
