HTS Number,Country,date,landed_duty_paid,customs_value,charges_ins_freight,calculated_duties,kg_total,qty_first_number,qty_second_kilograms,usd_per_kg_landed,usd_per_kg_customs,freight_share,effective_duty_rate,commodity,kg_per_piece,implausible_unit,low_volume,reliable
730630,Brazil,2022-01-01,789535,656161,133374,0,257341.0,0.0,0.0,3.068049786081503,2.5497724808716837,0.16892727998125479,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2022-02-01,17172,16400,772,0,10483.0,0.0,0.0,1.6380807020890966,1.5644376609749118,0.04495690659212672,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2022-04-01,24496,21996,2500,0,8838.0,0.0,0.0,2.7716677981443767,2.488798370672098,0.10205747877204442,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,True,False
730630,Brazil,2022-06-01,195733,162914,32819,0,54188.0,0.0,0.0,3.612109692182771,3.006458994611353,0.1676722882702457,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2022-07-01,1340164,1212400,127764,0,353672.0,0.0,0.0,3.789284987219797,3.4280350154945824,0.09533460083989721,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2023-01-01,135282,131782,3500,0,64415.0,0.0,0.0,2.100163005511139,2.045827835131569,0.0258718824381662,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2023-04-01,190182,178182,12000,0,70948.0,0.0,0.0,2.6805829621694763,2.5114450019732764,0.06309745401773038,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2025-01-01,28984,28706,278,0,21913.0,0.0,0.0,1.3226851640578652,1.3099986309496645,0.009591498757935413,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2025-06-01,39319,23057,4733,11529,21613.0,0.0,0.0,1.8192291676305927,1.0668116411419053,0.12037437371245453,0.5000216853883853,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2025-07-01,94866,60044,4800,30022,55965.0,0.0,0.0,1.6950951487536854,1.0728848387384973,0.05059768515590412,0.5,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2026-03-01,46767,33598,2501,10668,19891.0,0.0,0.0,2.351163842944045,1.6891056256598462,0.05347787970149892,0.3175188999345199,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Brazil,2026-06-01,21233,14023,198,7012,5600.0,0.0,0.0,3.791607142857143,2.504107142857143,0.009325107144539161,0.500035655708479,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,True,False
730630,Canada,2022-01-01,29078786,28812367,266419,0,12306112.0,0.0,0.0,2.3629547658919403,2.3413054423688,0.009161971204712604,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-02-01,30694341,30419578,274763,0,13610402.0,0.0,0.0,2.2552119327555498,2.2350242116287236,0.008951584919187546,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-03-01,38228691,37811483,417208,0,18526037.0,0.0,0.0,2.0635115324448505,2.040991443555899,0.010913478570323007,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-04-01,33038897,32743397,295500,0,15966832.0,0.0,0.0,2.0692205567140682,2.050713441464155,0.008944003185094224,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-05-01,38063323,37757950,305373,0,17030228.0,0.0,0.0,2.2350448273505203,2.217113593546722,0.0080227624897595,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-06-01,32717298,32406929,310369,0,15632838.0,0.0,0.0,2.0928572278430826,2.0730035710726358,0.00948638851533522,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-07-01,31652012,31355338,296674,0,15591659.0,0.0,0.0,2.0300605599442627,2.011032822100586,0.009372990254142453,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-08-01,32259511,31984456,275055,0,16534957.0,0.0,0.0,1.9509885027218397,1.9343537452198998,0.008526322671165102,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-09-01,26775591,26495864,279727,0,14546576.0,0.0,0.0,1.840679964824712,1.821450216188332,0.010447089664612818,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-10-01,30788233,30457336,330897,0,17666561.0,0.0,0.0,1.742740593372983,1.7240104624776718,0.010747515130212246,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-11-01,24768261,24519025,249236,0,15182918.0,0.0,0.0,1.631324163115417,1.6149086097942438,0.01006271695861086,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2022-12-01,17188237,17012994,175243,0,11170804.0,0.0,0.0,1.5386750139023118,1.5229874232866318,0.010195519179773935,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2023-01-01,23150737,22872664,278073,0,15255313.0,0.0,0.0,1.5175524094458108,1.4993244648602098,0.012011410263094432,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2023-02-01,22529449,22295701,233748,0,14491238.0,0.0,0.0,1.5546945678485165,1.5385642689741208,0.010375220450353669,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2023-03-01,27061505,26760966,300539,0,17656232.0,0.0,0.0,1.5326885713780833,1.515666876148886,0.011105775528744614,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2023-04-01,26368450,26086837,281613,0,16432170.0,0.0,0.0,1.6046845912621401,1.5875466843393173,0.01067992240727081,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2023-05-01,29242764,28940091,302673,0,17739874.0,0.0,0.0,1.6484200507850282,1.6313583174266062,0.01035035539048224,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2023-06-01,28931547,28649265,282282,0,16980698.0,0.0,0.0,1.7037902093306176,1.687166511058615,0.00975689270953952,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
730630,Canada,2023-07-01,19583549,19367585,215964,0,11519471.0,0.0,0.0,1.7000389167176166,1.6812911808189803,0.011027827489287054,0.0,"7306.30 - tubos soldados, secao circular, aco nao ligado",,False,False,True
