Consignee,Country of Destination,Country of Origin,Date,HS Code,HS Product Description,Notify Party Name,Port of Destination,Port of Origin,Product Description,Quantity,Shipper,Unit,Value $,_row_key,_page,_source_url
-,,Canada,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"STEEL OR IRON PIPES & TUBES, WELDED, CIRCULAR,CROSS SECTION (NOT CAST) (UNDER . MM) AND,OTHER, TUBES, PIPES & HOLLOW PROFILES, WELDE,D, OF CIRCULAR CROSS-SECTION, OF IRON OR NO,N-ALLOY STEEL, N.E.S CERS NO (CANADA) P.O.R:,CERS AR",22,-,,0,25153195253674428,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PCS ( BUNDLES) EMT GALVANISED CONDUITS AS PER UL APPROVAL. BOTH ENDS PLAIN PROTECTED WITH NO PLASTIC CAPS. IN THE LENGTH OF FEET ( . MTR.) LENGTH TOLERANCE MM.,51,-,,0,25153195254994587,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,TUBERIA DE ACERO GALVANIZADO,55,-,,0,25153195253373756,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,TUBERIA PARA PERFORACION O SONDEO,79,-,,0,25153195253284298,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,GI PIPES,24,-,,0,25153195253137765,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,GI PIPES,93,-,,0,25153195253137764,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PIPE ASM-TRANS FLUID CLR INL & OTLT,12,-,,0,25153195253070692,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,TUBERIA DE ACERO GALVANIZADO,51,-,,0,25153195253034196,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PRECISION TUBE,28,-,,0,25153195252941245,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"PIPE ASM-TRANS FLUID CLR INL & OTLT,HS CODE",10,-,,0,25153195252870281,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"PIPE ASM-F/TNK FIL (W/ FIL HOSE),NET WEIGHT . KGS",13,-,,0,25153195252873545,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PRECISION STEEL TUBES - CDW,24,-,,0,25153195252479881,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,PRECISION STEEL TUBES - CDW,27,-,,0,25153195252479888,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"PRECISION TUBE (ERW/CEW CARBON STEELMECHANICA,L ROUND TUBE)",27,-,,0,25153195252455719,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF IRO,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",46,-,,0,25153195252800915,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF IRO,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",44,-,,0,25153195252801366,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Canada,,7306305028,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:, Other /note: See 9903.88.15 and U.S. note 16 to subchapter III, chapter 99., Internally coated or lined with a non-electrically insulating material, suitable for use as electrical conduit",-,,,ELECTRICAL PRODUCT,1,-,,0,25153195252347081,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF IRO,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",44,-,,0,25153195252291613,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF IRO,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",49,-,,0,25153195252291771,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF IRO,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",47,-,,0,25153195252291742,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"PIPE ASM-F/TNK FIL (W/ FIL HOSE),HS CODE",1,-,,0,25153195252211359,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"HOT DIPPED GALVANIZED STEEL PIPE - PCS I,N IN X ' CONTAINER HOT DIPPED GALVANIZED ST,EEL PIPE AMPL/EXP/ - / INCOTERMS :,CIF PORT OF SPAIN PORT, TRINIDAD AND TOBAGO,LETTER OF CREDIT NUMBER ILC - DATE OF,ISSUE INVOICE NO. DT. .,. IEC SB NO: DT: /",1216,-,,0,25153195252158490,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Mexico,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel",-,,,"PIPE ASM-TRANS FLUID CLR INL & OTLT,HS CODE",12,-,,0,25153195252211449,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
