Consignee,Country of Destination,Country of Origin,Date,HS Code,HS Product Description,Notify Party Name,Port of Destination,Port of Origin,Product Description,Quantity,Shipper,Unit,Value $,_row_key,_page,_source_url
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"X HC CONTAINER TOTAL,PACKAGES ONLY (TWENTY-FIVE BUNDELS,ONLY) PRECISION,TUBE (ERW/CEW CARBON STEEL,MECHANICAL ROUND TUBE) HTS CODE,EXPORT,INVOICE- EX DATE-",25,-,,0,25153195249753181,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"PRECISION TUBE,X HC CONTAINER TOTAL,PACKAGES ONLY (FIFTY-FIVE BUNDELS,ONLY) PRECISION,TUBE (ERW/CEW CARBON STEEL,MECHANICAL ROUND TUBE) HTS CODE,EXPORT",27,-,,0,25153195249752071,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"PRECISION STEEL TUBES - CDW,QTY /HEX BUNDLE COMMODITY,PRECISION STEEL TUBES - CDW HS,CODE,PO NUMBER & DT. TP DT. -,JUN- , TP DT. -MAY- ,,TP DT. -",23,-,,0,25153195249735368,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"PRECISION STEEL TUBES,QTY /HEX BUNDLE COMMODITY,PRECISION STEEL TUBES - CDW PO,NUMBER & DT.,TP DT. -JUN- , TP DT.,-MAY- , TP DT. -MAY- ,,S.B.NO",20,-,,0,25153195249735369,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"PRECISION TUBE (ERW/CEW CARBON,STEEL MECHANICAL ROUND TUBE) HTS,CODE",28,-,,0,25153195249752072,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"HOT DIPPED WELDED GALVANIZED STEEL PIPE -,PCS IN BUNDLES IN X ' CONTAINERS FI,RST PRIME MATERIAL FROM NEW PRODUCTION, HOT D,IPPED WELDED GALVANIZED STEEL PIPES FOR PO,LES, ALL OTHER DETAILS ARE AS PER PROFORMA IN,VOICE NUMBER NTL/EXP/ / - DATE . .,DELIVERY TERMS : CIF PORT OF SPAIN - TRINI",32,-,,0,25153195249754778,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"QTY /HEX BUNDLE COMMODITY,PRECISION STEEL TUBES - CDW HS,CODE,PO NO & DATE TP DT. -MAY-,, TP DT. -MAY- , TP,DT. -,JUN- , TP DT. -MAY- ,",29,-,,0,25153195249735367,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Canada,,7306305028,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:, Other /note: See 9903.88.15 and U.S. note 16 to subchapter III, chapter 99., Internally coated or lined with a non-electrically insulating material, suitable for use as electrical conduit",-,,,ELECTRICAL PRODUCT,2,-,,0,25153195249728663,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",49,-,,0,25153195249826996,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION TUBE,72,-,,0,25153195249819396,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION STEEL TUBES - CDW,23,-,,0,25153195249813517,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION STEEL TUBES - CDW,24,-,,0,25153195249813544,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",49,-,,0,25153195249827030,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION STEEL TUBES - CDW,21,-,,0,25153195249813526,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP",49,-,,0,25153195249463137,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION STEEL TUBES - CDW,23,-,,0,25153195249253021,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION STEEL TUBES - CDW,24,-,,0,25153195249253060,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION STEEL TUBES - CDW,21,-,,0,25153195249253025,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION TUBE,72,-,,0,25153195249262837,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION STEEL TUBES,23,-,,0,25153195249254853,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,OF IRON OR NON ALLOY STEEL,(GALVANISED PIPES/TUBES) HOLLOW SHAFT ROUND,WITH END CAP; PACKAGING",41,-,,0,25153195249191859,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,IRON OR NON ALLOY STEEL (GALVANISED PIPES/,TUBES) HOLLOW SHAFT ROUND; WITH END CAP;,PACKAGING",51,-,,0,25153195249192467,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,73063090,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"OTHER TUBES, PIPES AND HOLLOW PROFILES OF,OF IRON OR NON ALLOY STEEL,(GALVANISED PIPES/TUBES) HOLLOW SHAFT ROUND,WITH END CAP; PACKAGING",41,-,,0,25153195249192097,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"ERW BLACK STEEL PIPESH.S. CODE 73063090S.B N,O. 3178284 DATE 30062025IEC NO. 0591047519CI,F TORONTO ONTARIO CANADAFREIGHT PREPAID",38,-,,0,25153195249188900,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,Canada,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"COMMODITY: 210230 ROD EXT M/F 1220 39R HM38 R,ET 220547 ROD TUN M/M 4300 DM35 35H HM38 C 22,0549 ROD TUN M/M 3700 DM35 35H HM38 C 220603,ROD TUN M/M 2480 DM28 28H R32 C 250160 ROD CL,R TPR 1220 22H 108X11 C 250161 ROD CLR TPR 1,830 22H 108X11 C 250162 ROD CLR TPR 2440 22H,108X11 C 250183 ROD CLR TPR 0610 22H 108X11",30,-,,0,25153195249040531,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,PRECISION TUBE,32,-,,0,25153195249047380,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"ERW BLACK STEEL PIPESH.S. CODE 73063090S.B N,O. 3178284 DATE 30062025IEC NO. 0591047519C,IF TORONTO ONTARIO CANADAFREIGHT PREPAID",138,-,,0,25153195248746934,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"ERW BLACK STEEL PIPES S.B NO 3178704 DATE 3,0062025 H.S. CODE 7306.3090 IEC NO. 05910475,19 FREIGHT PREPAID CIF TORONTO ONTARIO CANADA",23,-,,0,25153195248746589,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
-,,India,,730630,"Other tubes, pipes and hollow profiles (for example, open seamed or welded, riveted or similarly closed), of iron or steel:, welded, of circular cross section, of iron or nonalloy steel:",-,,,"HOT DIPPED GALVANIZED STEEL PIPES - 1465 PCS,IN 1 X40' CONTAINERS HOT DIPPED GALVANIZED S,TEEL PIPES. ALL OTHER DETAILS AS PER PROFORMA,INVOICE NO. AMPL/EXP/2024-25/078 DATED 12.02,.2025 INVOICE NO2592800252 DT. 28.06.2025 S/B,NO: 3132419 DT 29.06.2025 IEC CODE:05060600,39 HS CODE:73063090 NET WEIGHT (KGS): 25,530",1465,-,,0,25153195248871676,partial_1,https://app.volza.com/workspace/search/24846653#Partial-View
